product_id,product_name,category
P00001,Fiama Bath Soap,Bath & Body
P00002,Pepsi Soft Drink,Cold Drinks & Juices
P00003,Tata Tea Coffee Beans,Tea & Coffee
P00004,Tropicana Apple Juice,Cold Drinks & Juices
P00005,Mars Ladoo,Chocolates & Sweets
P00006,Nescafe Herbal Tea,Tea & Coffee
P00007,Lux Conditioner,Bath & Body
P00008,Patanjali Toor Dal,"Atta, Rice & Dal"
P00009,Continental Filter Coffee,Tea & Coffee
P00010,Brooke Bond Green Tea,Tea & Coffee
P00011,Paper Boat Energy Drink,Cold Drinks & Juices
P00012,Pigeon Food Storage Bags,Kitchen Essentials
P00013,Daawat Rajma,"Atta, Rice & Dal"
P00014,Cadbury Chocolate Bar,Chocolates & Sweets
P00015,Thums Up Fruit Juice,Cold Drinks & Juices
P00016,Santoor Face Wash,Bath & Body
P00017,Surf Excel Dishwash Liquid,Cleaning & Laundry
P00018,Haldirams Ladoo,Chocolates & Sweets
P00019,Aavin Fresh Cream,Dairy & Eggs
P00020,Red Label Coffee Beans,Tea & Coffee
P00021,Mother Dairy Brown Eggs,Dairy & Eggs
P00022,Wagh Bakri Herbal Tea,Tea & Coffee
P00023,Wagh Bakri Green Tea,Tea & Coffee
P00024,Milton Kitchen Towels,Kitchen Essentials
P00025,NaturePick Garlic,Fruits & Vegetables
P00026,Sensodyne Toothbrush,Oral Care
P00027,Tide Detergent Liquid,Cleaning & Laundry
P00028,Sundrop Desi Ghee,Edible Oils & Ghee
P00029,LocalFarm Carrot,Fruits & Vegetables
P00030,Closeup Electric Toothbrush,Oral Care
P00031,Oral-B Toothbrush,Oral Care
P00032,Nandini White Eggs,Dairy & Eggs
P00033,Fortune Rajma,"Atta, Rice & Dal"
P00034,Dhara Sunflower Oil,Edible Oils & Ghee
P00035,Dodla Milk,Dairy & Eggs
P00036,Organic India Lady Finger,Fruits & Vegetables
P00037,FarmFresh Carrot,Fruits & Vegetables
P00038,Tide Toilet Cleaner,Cleaning & Laundry
P00039,Tropicana Apple Juice,Cold Drinks & Juices
P00040,Patanjali Moong Dal,"Atta, Rice & Dal"
P00041,Continental Herbal Tea,Tea & Coffee
P00042,Country Delight Brown Eggs,Dairy & Eggs
P00043,Paper Boat Iced Tea,Cold Drinks & Juices
P00044,24 Mantra Chickpeas,"Atta, Rice & Dal"
P00045,Milton Paper Towels,Kitchen Essentials
P00046,Emami Healthy & Tasty Desi Ghee,Edible Oils & Ghee
P00047,Rin Fabric Softener,Cleaning & Laundry
P00048,Wagh Bakri Tea Powder,Tea & Coffee
P00049,Aavin Cheese,Dairy & Eggs
P00050,Freedom Rice Bran Oil,Edible Oils & Ghee
P00051,Surf Excel Toilet Cleaner,Cleaning & Laundry
P00052,Bru Masala Tea,Tea & Coffee
P00053,Aashirvaad Rajma,"Atta, Rice & Dal"
P00054,Santoor Conditioner,Bath & Body
P00055,NaturePick Cucumber,Fruits & Vegetables
P00056,Britannia Roasted Peanuts,Snacks & Biscuits
P00057,Tropicana Energy Drink,Cold Drinks & Juices
P00058,Wagh Bakri Masala Tea,Tea & Coffee
P00059,Nandini Fresh Cream,Dairy & Eggs
P00060,FarmFresh Orange,Fruits & Vegetables
P00061,Sunfeast Digestive Biscuits,Snacks & Biscuits
P00062,Sensodyne Mouthwash,Oral Care
P00063,Patanjali Mustard Oil,Edible Oils & Ghee
P00064,Surf Excel Dishwash Bar,Cleaning & Laundry
P00065,Dodla Ghee,Dairy & Eggs
P00066,Tata Tea Tea Powder,Tea & Coffee
P00067,Dettol Toilet Cleaner,Cleaning & Laundry
P00068,Fiama Face Wash,Bath & Body
P00069,Scotch-Brite Garbage Bags,Kitchen Essentials
P00070,Ariel Toilet Cleaner,Cleaning & Laundry
P00071,Colgate Dental Floss,Oral Care
P00072,Milky Mist Fresh Cream,Dairy & Eggs
P00073,Lays Namkeen Mix,Snacks & Biscuits
P00074,Nescafe Herbal Tea,Tea & Coffee
P00075,Country Delight Curd,Dairy & Eggs
P00076,Scotch-Brite Paper Towels,Kitchen Essentials
P00077,Lays Cream Biscuits,Snacks & Biscuits
P00078,Ariel Toilet Cleaner,Cleaning & Laundry
P00079,Closeup Dental Floss,Oral Care
P00080,Country Delight Buttermilk,Dairy & Eggs
P00081,Closeup Toothbrush,Oral Care
P00082,Lux Body Lotion,Bath & Body
P00083,Dove Talcum Powder,Bath & Body
P00084,Paper Boat Fruit Juice,Cold Drinks & Juices
P00085,Aavin Flavoured Milk,Dairy & Eggs
P00086,Dove Body Lotion,Bath & Body
P00087,Nestle Rasgulla,Chocolates & Sweets
P00088,Thums Up Iced Tea,Cold Drinks & Juices
P00089,Santoor Body Wash,Bath & Body
P00090,Wagh Bakri Tea Powder,Tea & Coffee
P00091,Reliance Fresh Ginger,Fruits & Vegetables
P00092,Fiama Body Wash,Bath & Body
P00093,Pepsodent Toothbrush,Oral Care
P00094,Ferrero Dark Chocolate,Chocolates & Sweets
P00095,Britannia Digestive Biscuits,Snacks & Biscuits
P00096,Lays Bhujia,Snacks & Biscuits
P00097,Nestle Dark Chocolate,Chocolates & Sweets
P00098,Bru Filter Coffee,Tea & Coffee
P00099,Closeup Toothbrush,Oral Care
P00100,Red Label Green Tea,Tea & Coffee
P00101,India Gate Urad Dal,"Atta, Rice & Dal"
P00102,Nandini Butter,Dairy & Eggs
P00103,Dhara Sunflower Oil,Edible Oils & Ghee
P00104,Sunfeast Cookies,Snacks & Biscuits
P00105,FreshBasket Spinach,Fruits & Vegetables
P00106,Daawat Basmati Rice,"Atta, Rice & Dal"
P00107,Scotch-Brite Aluminium Foil,Kitchen Essentials
P00108,Santoor Hand Wash,Bath & Body
P00109,Country Delight Curd,Dairy & Eggs
P00110,Amul Chocolate Bar,Chocolates & Sweets
P00111,Amul Dark Chocolate,Chocolates & Sweets
P00112,Pepsodent Toothpaste,Oral Care
P00113,India Gate Multigrain Atta,"Atta, Rice & Dal"
P00114,Aashirvaad Urad Dal,"Atta, Rice & Dal"
P00115,Patanjali Toor Dal,"Atta, Rice & Dal"
P00116,Emami Healthy & Tasty Groundnut Oil,Edible Oils & Ghee
P00117,Pepsi Apple Juice,Cold Drinks & Juices
P00118,Red Label Masala Tea,Tea & Coffee
P00119,Paper Boat Mixed Fruit Juice,Cold Drinks & Juices
P00120,NaturePick Coriander,Fruits & Vegetables
P00121,Dhara Groundnut Oil,Edible Oils & Ghee
P00122,Pigeon Food Storage Bags,Kitchen Essentials
P00123,Dettol Dishwash Bar,Cleaning & Laundry
P00124,Milton Paper Towels,Kitchen Essentials
P00125,Pepsi Apple Juice,Cold Drinks & Juices
P00126,Saffola Mustard Oil,Edible Oils & Ghee
P00127,Kurkure Popcorn,Snacks & Biscuits
P00128,Organic India Brinjal,Fruits & Vegetables
P00129,Patanjali Body Lotion,Bath & Body
P00130,Fortune Basmati Rice,"Atta, Rice & Dal"
P00131,Kurkure Roasted Peanuts,Snacks & Biscuits
P00132,Tropicana Energy Drink,Cold Drinks & Juices
P00133,B Natural Apple Juice,Cold Drinks & Juices
P00134,Patanjali Sunflower Oil,Edible Oils & Ghee
P00135,FreshBasket Carrot,Fruits & Vegetables
P00136,Tropicana Energy Drink,Cold Drinks & Juices
P00137,24 Mantra Brown Rice,"Atta, Rice & Dal"
P00138,Emami Healthy & Tasty Sunflower Oil,Edible Oils & Ghee
P00139,Amul White Eggs,Dairy & Eggs
P00140,Patanjali Groundnut Oil,Edible Oils & Ghee
P00141,Amul Ghee,Dairy & Eggs
P00142,Lux Hand Wash,Bath & Body
P00143,Pepsi Fruit Juice,Cold Drinks & Juices
P00144,Prestige Kitchen Towels,Kitchen Essentials
P00145,Aavin Buttermilk,Dairy & Eggs
P00146,Parle Digestive Biscuits,Snacks & Biscuits
P00147,Continental Green Tea,Tea & Coffee
P00148,Fiama Body Wash,Bath & Body
P00149,Pepsodent Toothpaste,Oral Care
P00150,Continental Masala Tea,Tea & Coffee
P00151,NaturePick Spinach,Fruits & Vegetables
P00152,Colgate Toothbrush,Oral Care
P00153,Bingo Popcorn,Snacks & Biscuits
P00154,Tata Sampann Sona Masoori Rice,"Atta, Rice & Dal"
P00155,FreshBasket Cucumber,Fruits & Vegetables
P00156,Country Delight Ghee,Dairy & Eggs
P00157,FarmFresh Cucumber,Fruits & Vegetables
P00158,Patanjali Groundnut Oil,Edible Oils & Ghee
P00159,Colgate Electric Toothbrush,Oral Care
P00160,Real Iced Tea,Cold Drinks & Juices
P00161,FreshBasket Cabbage,Fruits & Vegetables
P00162,Pepsi Apple Juice,Cold Drinks & Juices
P00163,Brooke Bond Green Tea,Tea & Coffee
P00164,Tata Tea Herbal Tea,Tea & Coffee
P00165,Amul Kaju Katli,Chocolates & Sweets
P00166,Britannia Digestive Biscuits,Snacks & Biscuits
P00167,Parle Namkeen Mix,Snacks & Biscuits
P00168,Surf Excel Detergent Powder,Cleaning & Laundry
P00169,Prestige Cling Wrap,Kitchen Essentials
P00170,Mother Dairy Fresh Cream,Dairy & Eggs
P00171,Wagh Bakri Filter Coffee,Tea & Coffee
P00172,Patanjali Bath Soap,Bath & Body
P00173,Scotch-Brite Food Storage Bags,Kitchen Essentials
P00174,Saffola Coconut Oil,Edible Oils & Ghee
P00175,Mars Ladoo,Chocolates & Sweets
P00176,Country Delight Buttermilk,Dairy & Eggs
P00177,Nestle Ladoo,Chocolates & Sweets
P00178,LocalFarm Potato,Fruits & Vegetables
P00179,Freedom Olive Oil,Edible Oils & Ghee
P00180,Rin Detergent Powder,Cleaning & Laundry
P00181,Mother Dairy White Eggs,Dairy & Eggs
P00182,Red Label Green Tea,Tea & Coffee
P00183,Harpic Fabric Softener,Cleaning & Laundry
P00184,Bingo Potato Chips,Snacks & Biscuits
P00185,Colgate Toothbrush,Oral Care
P00186,Heritage Fresh Cream,Dairy & Eggs
P00187,Glad Kitchen Towels,Kitchen Essentials
P00188,Rin Fabric Softener,Cleaning & Laundry
P00189,Thums Up Iced Tea,Cold Drinks & Juices
P00190,Parle Bhujia,Snacks & Biscuits
P00191,Nandini Buttermilk,Dairy & Eggs
P00192,Red Label Herbal Tea,Tea & Coffee
P00193,Aashirvaad Atta,"Atta, Rice & Dal"
P00194,Patanjali Groundnut Oil,Edible Oils & Ghee
P00195,Aashirvaad Multigrain Atta,"Atta, Rice & Dal"
P00196,Emami Healthy & Tasty Groundnut Oil,Edible Oils & Ghee
P00197,Vim Toilet Cleaner,Cleaning & Laundry
P00198,Paper Boat Apple Juice,Cold Drinks & Juices
P00199,Patanjali Desi Ghee,Edible Oils & Ghee
P00200,Saffola Groundnut Oil,Edible Oils & Ghee
P00201,Sprite Diet Soft Drink,Cold Drinks & Juices
P00202,24 Mantra Chickpeas,"Atta, Rice & Dal"
P00203,Girnar Masala Tea,Tea & Coffee
P00204,Cadbury Rasgulla,Chocolates & Sweets
P00205,India Gate Toor Dal,"Atta, Rice & Dal"
P00206,Pepsodent Dental Floss,Oral Care
P00207,LocalFarm Banana,Fruits & Vegetables
P00208,Dodla Flavoured Milk,Dairy & Eggs
P00209,Kurkure Popcorn,Snacks & Biscuits
P00210,Amul Dark Chocolate,Chocolates & Sweets
P00211,Santoor Body Wash,Bath & Body
P00212,Red Label Instant Coffee,Tea & Coffee
P00213,NaturePick Carrot,Fruits & Vegetables
P00214,Sunfeast Roasted Peanuts,Snacks & Biscuits
P00215,Dove Hand Wash,Bath & Body
P00216,Dodla Ghee,Dairy & Eggs
P00217,Scotch-Brite Cling Wrap,Kitchen Essentials
P00218,Britannia Banana Chips,Snacks & Biscuits
P00219,Scotch-Brite Aluminium Foil,Kitchen Essentials
P00220,Cadbury Rasgulla,Chocolates & Sweets
P00221,Thums Up Diet Soft Drink,Cold Drinks & Juices
P00222,Dabur Red Electric Toothbrush,Oral Care
P00223,Brooke Bond Herbal Tea,Tea & Coffee
P00224,Amul Ladoo,Chocolates & Sweets
P00225,Dettol Detergent Powder,Cleaning & Laundry
P00226,Sprite Orange Juice,Cold Drinks & Juices
P00227,Tata Tea Instant Coffee,Tea & Coffee
P00228,Lifebuoy Body Lotion,Bath & Body
P00229,Lizol Bleach,Cleaning & Laundry
P00230,Mother Dairy Buttermilk,Dairy & Eggs
P00231,B Natural Iced Tea,Cold Drinks & Juices
P00232,NaturePick Potato,Fruits & Vegetables
P00233,Patanjali Rajma,"Atta, Rice & Dal"
P00234,Parle Roasted Peanuts,Snacks & Biscuits
P00235,Closeup Electric Toothbrush,Oral Care
P00236,Dabur Red Electric Toothbrush,Oral Care
P00237,Brooke Bond Instant Coffee,Tea & Coffee
P00238,Dhara Mustard Oil,Edible Oils & Ghee
P00239,24 Mantra Moong Dal,"Atta, Rice & Dal"
P00240,Sunfeast Cream Biscuits,Snacks & Biscuits
P00241,Vim Detergent Liquid,Cleaning & Laundry
P00242,Lifebuoy Face Wash,Bath & Body
P00243,Patanjali Desi Ghee,Edible Oils & Ghee
P00244,Amul Milk Chocolate,Chocolates & Sweets
P00245,Thums Up Orange Juice,Cold Drinks & Juices
P00246,Freedom Olive Oil,Edible Oils & Ghee
P00247,Closeup Dental Floss,Oral Care
P00248,Dabur Red Toothpaste,Oral Care
P00249,Lizol Bleach,Cleaning & Laundry
P00250,Sprite Energy Drink,Cold Drinks & Juices
P00251,Nandini Flavoured Milk,Dairy & Eggs
P00252,FreshBasket Onion,Fruits & Vegetables
P00253,Pepsi Iced Tea,Cold Drinks & Juices
P00254,Pepsi Fruit Juice,Cold Drinks & Juices
P00255,Scotch-Brite Cling Wrap,Kitchen Essentials
P00256,Fortune Olive Oil,Edible Oils & Ghee
P00257,Sunfeast Popcorn,Snacks & Biscuits
P00258,Reliance Fresh Spinach,Fruits & Vegetables
P00259,Parle Cookies,Snacks & Biscuits
P00260,Mars Rasgulla,Chocolates & Sweets
P00261,Lizol Fabric Softener,Cleaning & Laundry
P00262,Sprite Soft Drink,Cold Drinks & Juices
P00263,FarmFresh Apple,Fruits & Vegetables
P00264,Colgate Toothpaste,Oral Care
P00265,Continental Tea Powder,Tea & Coffee
P00266,Lifebuoy Bath Soap,Bath & Body
P00267,Sensodyne Toothbrush,Oral Care
P00268,NaturePick Potato,Fruits & Vegetables
P00269,Country Delight Milk,Dairy & Eggs
P00270,Thums Up Mixed Fruit Juice,Cold Drinks & Juices
P00271,Mother Dairy Cheese,Dairy & Eggs
P00272,Sunfeast Potato Chips,Snacks & Biscuits
P00273,Sundrop Sunflower Oil,Edible Oils & Ghee
P00274,Closeup Mouthwash,Oral Care
P00275,FreshBasket Cabbage,Fruits & Vegetables
P00276,Haldirams Banana Chips,Snacks & Biscuits
P00277,FreshBasket Brinjal,Fruits & Vegetables
P00278,Santoor Body Wash,Bath & Body
P00279,Red Label Filter Coffee,Tea & Coffee
P00280,Tropicana Diet Soft Drink,Cold Drinks & Juices
P00281,Aavin Flavoured Milk,Dairy & Eggs
P00282,Dettol Dishwash Bar,Cleaning & Laundry
P00283,Harpic Detergent Powder,Cleaning & Laundry
P00284,Balaji Potato Chips,Snacks & Biscuits
P00285,Parle Namkeen Mix,Snacks & Biscuits
P00286,Brooke Bond Coffee Beans,Tea & Coffee
P00287,Dabur Red Electric Toothbrush,Oral Care
P00288,Coca-Cola Diet Soft Drink,Cold Drinks & Juices
P00289,Britannia Marie Biscuits,Snacks & Biscuits
P00290,Aavin Flavoured Milk,Dairy & Eggs
P00291,Nescafe Green Tea,Tea & Coffee
P00292,Amul White Eggs,Dairy & Eggs
P00293,Pepsi Apple Juice,Cold Drinks & Juices
P00294,Heritage Paneer,Dairy & Eggs
P00295,Closeup Toothbrush,Oral Care
P00296,Real Soft Drink,Cold Drinks & Juices
P00297,Pears Body Wash,Bath & Body
P00298,Heritage Paneer,Dairy & Eggs
P00299,NaturePick Lady Finger,Fruits & Vegetables
P00300,India Gate Atta,"Atta, Rice & Dal"
P00301,Oral-B Toothpaste,Oral Care
P00302,Wagh Bakri Masala Tea,Tea & Coffee
P00303,Paper Boat Soft Drink,Cold Drinks & Juices
P00304,Nandini Milk,Dairy & Eggs
P00305,Aavin Curd,Dairy & Eggs
P00306,Nescafe Instant Coffee,Tea & Coffee
P00307,Nandini Butter,Dairy & Eggs
P00308,Amul Rasgulla,Chocolates & Sweets
P00309,Prestige Aluminium Foil,Kitchen Essentials
P00310,Ferrero Soan Papdi,Chocolates & Sweets
P00311,Oral-B Electric Toothbrush,Oral Care
P00312,Organic India Orange,Fruits & Vegetables
P00313,Aashirvaad Sona Masoori Rice,"Atta, Rice & Dal"
P00314,Lux Bath Soap,Bath & Body
P00315,Emami Healthy & Tasty Olive Oil,Edible Oils & Ghee
P00316,Pears Conditioner,Bath & Body
P00317,Lux Bath Soap,Bath & Body
P00318,Continental Green Tea,Tea & Coffee
P00319,Oral-B Mouthwash,Oral Care
P00320,Pepsodent Toothbrush,Oral Care
P00321,24 Mantra Rajma,"Atta, Rice & Dal"
P00322,Fiama Talcum Powder,Bath & Body
P00323,Milky Mist Butter,Dairy & Eggs
P00324,Kurkure Cream Biscuits,Snacks & Biscuits
P00325,Tide Bleach,Cleaning & Laundry
P00326,Sundrop Rice Bran Oil,Edible Oils & Ghee
P00327,Fortune Olive Oil,Edible Oils & Ghee
P00328,FreshBasket Ginger,Fruits & Vegetables
P00329,Sunfeast Marie Biscuits,Snacks & Biscuits
P00330,Milky Mist Brown Eggs,Dairy & Eggs
P00331,Glad Paper Towels,Kitchen Essentials
P00332,Tata Sampann Chickpeas,"Atta, Rice & Dal"
P00333,Dabur Red Electric Toothbrush,Oral Care
P00334,Girnar Tea Powder,Tea & Coffee
P00335,Milton Kitchen Towels,Kitchen Essentials
P00336,India Gate Brown Rice,"Atta, Rice & Dal"
P00337,Fortune Atta,"Atta, Rice & Dal"
P00338,Pears Talcum Powder,Bath & Body
P00339,Oral-B Dental Floss,Oral Care
P00340,Red Label Filter Coffee,Tea & Coffee
P00341,Brooke Bond Filter Coffee,Tea & Coffee
P00342,Prestige Kitchen Towels,Kitchen Essentials
P00343,B Natural Energy Drink,Cold Drinks & Juices
P00344,Patanjali Hand Wash,Bath & Body
P00345,Rin Detergent Powder,Cleaning & Laundry
P00346,Sunfeast Popcorn,Snacks & Biscuits
P00347,Red Label Masala Tea,Tea & Coffee
P00348,Milton Kitchen Towels,Kitchen Essentials
P00349,Pigeon Food Storage Bags,Kitchen Essentials
P00350,Scotch-Brite Food Storage Bags,Kitchen Essentials
P00351,Ariel Dishwash Liquid,Cleaning & Laundry
P00352,Santoor Talcum Powder,Bath & Body
P00353,Thums Up Fruit Juice,Cold Drinks & Juices
P00354,Harpic Dishwash Bar,Cleaning & Laundry
P00355,Oral-B Electric Toothbrush,Oral Care
P00356,Fiama Hand Wash,Bath & Body
P00357,Colgate Dental Floss,Oral Care
P00358,Cadbury Milk Chocolate,Chocolates & Sweets
P00359,Milton Cling Wrap,Kitchen Essentials
P00360,FarmFresh Carrot,Fruits & Vegetables
P00361,Thums Up Diet Soft Drink,Cold Drinks & Juices
P00362,Pigeon Aluminium Foil,Kitchen Essentials
P00363,Pigeon Aluminium Foil,Kitchen Essentials
P00364,Balaji Bhujia,Snacks & Biscuits
P00365,Pepsodent Dental Floss,Oral Care
P00366,Girnar Instant Coffee,Tea & Coffee
P00367,Fortune Coconut Oil,Edible Oils & Ghee
P00368,Paper Boat Mixed Fruit Juice,Cold Drinks & Juices
P00369,Sunfeast Roasted Peanuts,Snacks & Biscuits
P00370,LocalFarm Ginger,Fruits & Vegetables
P00371,Aavin Ghee,Dairy & Eggs
P00372,Fiama Face Wash,Bath & Body
P00373,Tide Dishwash Bar,Cleaning & Laundry
P00374,Scotch-Brite Cling Wrap,Kitchen Essentials
P00375,Ariel Dishwash Bar,Cleaning & Laundry
P00376,Pears Body Wash,Bath & Body
P00377,Prestige Garbage Bags,Kitchen Essentials
P00378,Lays Marie Biscuits,Snacks & Biscuits
P00379,Fortune Brown Rice,"Atta, Rice & Dal"
P00380,Daawat Masoor Dal,"Atta, Rice & Dal"
P00381,Tropicana Energy Drink,Cold Drinks & Juices
P00382,Dhara Groundnut Oil,Edible Oils & Ghee
P00383,India Gate Rajma,"Atta, Rice & Dal"
P00384,Dabur Red Mouthwash,Oral Care
P00385,Haldirams Ladoo,Chocolates & Sweets
P00386,Dhara Groundnut Oil,Edible Oils & Ghee
P00387,Saffola Desi Ghee,Edible Oils & Ghee
P00388,Tata Sampann Basmati Rice,"Atta, Rice & Dal"
P00389,Pepsi Orange Juice,Cold Drinks & Juices
P00390,Daawat Urad Dal,"Atta, Rice & Dal"
P00391,NaturePick Coriander,Fruits & Vegetables
P00392,Reliance Fresh Spinach,Fruits & Vegetables
P00393,Kurkure Popcorn,Snacks & Biscuits
P00394,Emami Healthy & Tasty Rice Bran Oil,Edible Oils & Ghee
P00395,Patanjali Body Wash,Bath & Body
P00396,Dabur Red Mouthwash,Oral Care
P00397,Pigeon Cling Wrap,Kitchen Essentials
P00398,Reliance Fresh Cabbage,Fruits & Vegetables
P00399,Santoor Shampoo,Bath & Body
P00400,Britannia Roasted Peanuts,Snacks & Biscuits
P00401,Colgate Dental Floss,Oral Care
P00402,India Gate Toor Dal,"Atta, Rice & Dal"
P00403,Ariel Detergent Powder,Cleaning & Laundry
P00404,Patanjali Chana Dal,"Atta, Rice & Dal"
P00405,Bingo Popcorn,Snacks & Biscuits
P00406,Tata Tea Instant Coffee,Tea & Coffee
P00407,Tata Tea Instant Coffee,Tea & Coffee
P00408,Saffola Mustard Oil,Edible Oils & Ghee
P00409,Fiama Conditioner,Bath & Body
P00410,Reliance Fresh Orange,Fruits & Vegetables
P00411,Milton Paper Towels,Kitchen Essentials
P00412,Patanjali Masoor Dal,"Atta, Rice & Dal"
P00413,Amul Fresh Cream,Dairy & Eggs
P00414,Pigeon Cling Wrap,Kitchen Essentials
P00415,Brooke Bond Herbal Tea,Tea & Coffee
P00416,Brooke Bond Green Tea,Tea & Coffee
P00417,Sensodyne Dental Floss,Oral Care
P00418,Tropicana Iced Tea,Cold Drinks & Juices
P00419,Heritage Flavoured Milk,Dairy & Eggs
P00420,Colgate Dental Floss,Oral Care
P00421,Colgate Toothpaste,Oral Care
P00422,Continental Filter Coffee,Tea & Coffee
P00423,Lux Conditioner,Bath & Body
P00424,Vim Detergent Liquid,Cleaning & Laundry
P00425,Patanjali Shampoo,Bath & Body
P00426,Prestige Kitchen Towels,Kitchen Essentials
P00427,Closeup Mouthwash,Oral Care
P00428,Organic India Brinjal,Fruits & Vegetables
P00429,Wagh Bakri Instant Coffee,Tea & Coffee
P00430,Pepsodent Dental Floss,Oral Care
P00431,Pepsodent Dental Floss,Oral Care
P00432,Pigeon Cling Wrap,Kitchen Essentials
P00433,Fortune Olive Oil,Edible Oils & Ghee
P00434,Pepsi Apple Juice,Cold Drinks & Juices
P00435,Sprite Diet Soft Drink,Cold Drinks & Juices
P00436,Santoor Talcum Powder,Bath & Body
P00437,Nestle Soan Papdi,Chocolates & Sweets
P00438,NaturePick Carrot,Fruits & Vegetables
P00439,Ariel Floor Cleaner,Cleaning & Laundry
P00440,Parle Popcorn,Snacks & Biscuits
P00441,Fiama Bath Soap,Bath & Body
P00442,Dabur Red Toothbrush,Oral Care
P00443,Vim Bleach,Cleaning & Laundry
P00444,Glad Kitchen Towels,Kitchen Essentials
P00445,Mars Rasgulla,Chocolates & Sweets
P00446,FreshBasket Grapes,Fruits & Vegetables
P00447,Sensodyne Toothpaste,Oral Care
P00448,Patanjali Hand Wash,Bath & Body
P00449,LocalFarm Coriander,Fruits & Vegetables
P00450,Fortune Olive Oil,Edible Oils & Ghee
P00451,Brooke Bond Filter Coffee,Tea & Coffee
P00452,Nescafe Coffee Beans,Tea & Coffee
P00453,Tata Tea Herbal Tea,Tea & Coffee
P00454,Aashirvaad Toor Dal,"Atta, Rice & Dal"
P00455,Brooke Bond Green Tea,Tea & Coffee
P00456,Kohinoor Chickpeas,"Atta, Rice & Dal"
P00457,Oral-B Toothpaste,Oral Care
P00458,LocalFarm Ginger,Fruits & Vegetables
P00459,Dove Shampoo,Bath & Body
P00460,Freedom Sunflower Oil,Edible Oils & Ghee
P00461,Paper Boat Iced Tea,Cold Drinks & Juices
P00462,Kurkure Banana Chips,Snacks & Biscuits
P00463,Ferrero Milk Chocolate,Chocolates & Sweets
P00464,Patanjali Conditioner,Bath & Body
P00465,Sunfeast Popcorn,Snacks & Biscuits
P00466,Patanjali Body Lotion,Bath & Body
P00467,Paper Boat Diet Soft Drink,Cold Drinks & Juices
P00468,Dettol Floor Cleaner,Cleaning & Laundry
P00469,Freedom Mustard Oil,Edible Oils & Ghee
P00470,Kurkure Cream Biscuits,Snacks & Biscuits
P00471,Oral-B Electric Toothbrush,Oral Care
P00472,Rin Dishwash Liquid,Cleaning & Laundry
P00473,Dove Hand Wash,Bath & Body
P00474,Girnar Herbal Tea,Tea & Coffee
P00475,Tide Dishwash Liquid,Cleaning & Laundry
P00476,Closeup Toothbrush,Oral Care
P00477,Sprite Mixed Fruit Juice,Cold Drinks & Juices
P00478,Tata Tea Coffee Beans,Tea & Coffee
P00479,Santoor Body Wash,Bath & Body
P00480,Pears Conditioner,Bath & Body
P00481,Reliance Fresh Cabbage,Fruits & Vegetables
P00482,Continental Masala Tea,Tea & Coffee
P00483,Mars Milk Chocolate,Chocolates & Sweets
P00484,Harpic Toilet Cleaner,Cleaning & Laundry
P00485,Pears Body Lotion,Bath & Body
P00486,Prestige Aluminium Foil,Kitchen Essentials
P00487,Closeup Dental Floss,Oral Care
P00488,Kohinoor Atta,"Atta, Rice & Dal"
P00489,Nandini Butter,Dairy & Eggs
P00490,Red Label Tea Powder,Tea & Coffee
P00491,Real Diet Soft Drink,Cold Drinks & Juices
P00492,Fiama Talcum Powder,Bath & Body
P00493,Prestige Kitchen Towels,Kitchen Essentials
P00494,Lifebuoy Conditioner,Bath & Body
P00495,Emami Healthy & Tasty Mustard Oil,Edible Oils & Ghee
P00496,Sprite Fruit Juice,Cold Drinks & Juices
P00497,Sundrop Desi Ghee,Edible Oils & Ghee
P00498,Milton Kitchen Towels,Kitchen Essentials
P00499,Fortune Desi Ghee,Edible Oils & Ghee
